Case ID,Start Timestamp,Complete Timestamp,Task,Resource
1,2024-09-27 22:36:02.924468,2024-09-27 22:36:05.346613,Search for attraction,Eve
1,2024-09-27 22:36:05.346613,2024-09-27 22:36:08.818846,Response attraction information to user,VisitorInformationSystem
1,2024-09-27 22:36:08.818846,2024-09-27 22:36:11.952530,Click specific attraction book now button,Eve
1,2024-09-27 22:36:11.952530,2024-09-27 22:36:15.220567,Response tour information to user,BookingSystem
1,2024-09-27 22:36:15.220567,2024-09-27 22:36:19.675595,View specific tour details,Eve
1,2024-09-27 22:36:19.675595,2024-09-27 22:36:21.068262,Fill personal information and click book button,Eve
1,2024-09-27 22:36:21.068262,2024-09-27 22:36:25.762166,Validate user input,BookingSystem
1,2024-09-27 22:36:25.762166,2024-09-27 22:36:27.579342,Check availability,InventorySystem
1,2024-09-27 22:36:27.579342,2024-09-27 22:36:32.286207,Create an order and return an order id to user,BookingSystem
1,2024-09-27 22:36:32.286207,2024-09-27 22:36:33.997925,Confirm and pay,Eve
1,2024-09-27 22:36:33.997925,2024-09-27 22:36:35.473209,Validate user payment information and process payment,PaymentGateway
1,2024-09-27 22:36:35.473209,2024-09-27 22:36:40.131425,Update inventory,InventorySystem
1,2024-09-27 22:36:40.131425,2024-09-27 22:36:43.386811,Send confirmation message to user,BookingSystem
1,2024-09-27 22:36:43.386811,2024-09-27 22:36:46.941885,Receive confirmation,Eve
2,2024-09-27 22:36:02.924490,2024-09-27 22:36:06.170870,Browse attraction page,Charlie
2,2024-09-27 22:36:06.170870,2024-09-27 22:36:06.170870,Process terminated: User exited early,Charlie
3,2024-09-27 22:36:02.924493,2024-09-27 22:36:06.493341,Search for attraction,Alice
3,2024-09-27 22:36:06.493341,2024-09-27 22:36:08.744012,Response attraction information to user,VisitorInformationSystem
3,2024-09-27 22:36:08.744012,2024-09-27 22:36:12.075182,Click specific attraction book now button,Alice
3,2024-09-27 22:36:12.075182,2024-09-27 22:36:15.650646,Response tour information to user,BookingSystem
3,2024-09-27 22:36:15.650646,2024-09-27 22:36:17.444637,View specific tour details,Alice
3,2024-09-27 22:36:17.444637,2024-09-27 22:36:18.868039,Fill personal information and click book button,Alice
3,2024-09-27 22:36:18.868039,2024-09-27 22:36:22.177185,Validate user input,BookingSystem
3,2024-09-27 22:36:22.177185,2024-09-27 22:36:25.929216,Check availability,InventorySystem
3,2024-09-27 22:36:25.929216,2024-09-27 22:36:30.575275,Create an order and return an order id to user,BookingSystem
3,2024-09-27 22:36:30.575275,2024-09-27 22:36:33.317559,Confirm and pay,Alice
3,2024-09-27 22:36:33.317559,2024-09-27 22:36:35.460749,Validate user payment information and process payment,PaymentGateway
3,2024-09-27 22:36:35.460749,2024-09-27 22:36:39.370076,Update inventory,InventorySystem
3,2024-09-27 22:36:39.370076,2024-09-27 22:36:41.969399,Send confirmation message to user,BookingSystem
3,2024-09-27 22:36:41.969399,2024-09-27 22:36:45.583701,Receive confirmation,Alice
4,2024-09-27 22:36:02.924501,2024-09-27 22:36:04.893906,Browse attraction page,Eve
4,2024-09-27 22:36:04.893906,2024-09-27 22:36:09.581142,Response attraction information to user,VisitorInformationSystem
4,2024-09-27 22:36:09.581142,2024-09-27 22:36:14.429772,Click specific attraction book now button,Eve
4,2024-09-27 22:36:14.429772,2024-09-27 22:36:16.357742,Response tour information to user,BookingSystem
4,2024-09-27 22:36:16.357742,2024-09-27 22:36:21.247195,View specific tour details,Eve
4,2024-09-27 22:36:21.247195,2024-09-27 22:36:25.327536,Fill personal information and click book button,Eve
4,2024-09-27 22:36:25.327536,2024-09-27 22:36:26.520933,Validate user input,BookingSystem
4,2024-09-27 22:36:26.520933,2024-09-27 22:36:29.733540,Check availability,InventorySystem
4,2024-09-27 22:36:29.733540,2024-09-27 22:36:33.011374,Create an order and return an order id to user,BookingSystem
4,2024-09-27 22:36:33.011374,2024-09-27 22:36:35.140671,Confirm and pay,Eve
4,2024-09-27 22:36:35.140671,2024-09-27 22:36:37.743833,Validate user payment information and process payment,PaymentGateway
4,2024-09-27 22:36:37.743833,2024-09-27 22:36:39.914243,Update inventory,InventorySystem
4,2024-09-27 22:36:39.914243,2024-09-27 22:36:43.914113,Send confirmation message to user,BookingSystem
4,2024-09-27 22:36:43.914113,2024-09-27 22:36:45.357809,Receive confirmation,Eve
5,2024-09-27 22:36:02.924509,2024-09-27 22:36:07.827194,Search for attraction,David
5,2024-09-27 22:36:07.827194,2024-09-27 22:36:10.427451,Response attraction information to user,VisitorInformationSystem
5,2024-09-27 22:36:10.427451,2024-09-27 22:36:15.112262,Click specific attraction book now button,David
5,2024-09-27 22:36:15.112262,2024-09-27 22:36:17.898043,Response tour information to user,BookingSystem
5,2024-09-27 22:36:17.898043,2024-09-27 22:36:21.416787,View specific tour details,David
5,2024-09-27 22:36:21.416787,2024-09-27 22:36:22.476151,Fill personal information and click book button,David
